ntags,estimador,total_collisions_slots,total_empty_slots,total_slots,time
100,eom-lee,88.000000,94.200000,282.200000,125709.600000
200,eom-lee,201.600000,187.600000,589.200000,166590.200000
300,eom-lee,311.000000,281.000000,892.000000,219982.200000
400,eom-lee,411.400000,363.600000,1175.000000,238099.600000
500,eom-lee,537.800000,469.200000,1507.000000,198981.000000
600,eom-lee,643.600000,545.600000,1789.200000,174817.200000
700,eom-lee,761.200000,649.000000,2110.200000,188993.600000
800,eom-lee,864.200000,731.600000,2395.800000,198688.800000
900,eom-lee,981.600000,812.200000,2693.800000,189185.800000
1000,eom-lee,1095.000000,901.200000,2996.200000,188506.800000
