ntags,estimador,total_collisions_slots,total_empty_slots,total_slots,time
100,eom-lee,83.072000,92.310000,275.382000,3151.404500
100,iv2,38.422000,396.206500,534.628500,140568989.737500
100,lb,108.343500,72.343500,280.687000,375.295500
100,shoute,86.883500,88.932500,275.816000,354.852500
200,eom-lee,185.337500,195.357500,580.695000,5064.788500
200,iv2,103.038500,444.230000,747.268500,197801444.404000
200,lb,275.648500,139.648500,615.297000,467.688500
200,shoute,218.854000,173.635500,592.489500,443.626000
300,eom-lee,263.545500,316.154000,879.699500,37566.738500
300,iv2,166.408500,610.707500,1077.116000,229393236.105500
300,lb,447.435500,211.435500,958.871000,495.939500
300,shoute,352.974000,260.787500,913.761500,501.038000
400,eom-lee,301.666000,546.366500,1248.032500,449355.648500
400,iv2,245.958500,685.356500,1331.315000,248302706.646000
400,lb,618.379000,282.379000,1300.758000,511.023000
400,shoute,487.438000,347.995500,1235.433500,510.737500
500,eom-lee,328.433000,725.902500,1554.335500,897512.376500
500,iv2,320.992000,821.438000,1642.430000,259167331.966500
500,lb,790.806000,354.806000,1645.612000,541.260500
500,shoute,621.757500,434.677000,1556.434500,531.185000
600,eom-lee,390.128000,791.909500,1782.037500,1053489.507000
600,iv2,408.095000,927.093500,1935.188500,289355231.933000
600,lb,961.188000,425.188000,1986.376000,575.853500
600,shoute,755.466000,520.869000,1876.335000,582.762500
700,eom-lee,474.686000,837.550000,2012.236000,1108403.359500
700,iv2,490.198000,1125.684000,2315.882000,327185932.485000
700,lb,1133.158500,497.158500,2330.317000,587.156000
700,shoute,890.101000,608.153000,2198.254000,566.483000
800,eom-lee,572.533000,881.240000,2253.773000,1117180.820500
800,iv2,592.693500,1206.694500,2599.388000,368172067.237000
800,lb,1304.593500,568.593500,2673.187000,600.454000
800,shoute,1023.536500,693.952500,2517.489000,591.000500
900,eom-lee,676.831000,934.418000,2511.249000,1115723.954000
900,iv2,718.180500,1295.711500,2913.892000,407024627.192500
900,lb,1475.697000,639.697000,3015.394000,625.054000
900,shoute,1157.820000,780.700500,2838.520500,607.162500
1000,eom-lee,781.765000,991.809500,2773.574500,1116096.580500
1000,iv2,864.082500,1380.776000,3244.858500,446711273.828000
1000,lb,1647.407000,711.407000,3358.814000,633.825000
1000,shoute,1292.475000,868.132000,3160.607000,606.663000
